Problem Statement,Vehicle Type,Category,Solution,,,
My car's exhaust emits white smoke,Exhaust System,Car,Check coolant level and inspect cylinder head gasket for leaks. Replace gasket if needed.,,,
My bike's suspension feels too stiff,Suspension,Bike,Adjust suspension damping settings to soften the ride. Inspect shock absorbers for damage.,,,
My car's engine stalls at idle,Engine,Car,Check for vacuum leaks and clean throttle body. Adjust idle air control valve if necessary.,,,
 brakes pulsate when applied,Brakes,Bike,Resurface brake rotors and check for uneven wear. Inspect brake calipers for sticking.,,,
My car's air conditioning blows warm air when turned on,HVAC,Car,Check refrigerant level and inspect compressor operation. Clean or replace cabin air filter.,,,
My bike's chain keeps falling off,Transmission,Bike,Check chain tension and alignment. Lubricate chain and adjust tension as needed.,,,
My car's headlights flicker rapidly,Electrical,Car,Inspect headlight bulbs and wiring connections. Replace bulbs if necessary. Check voltage regulator.,,,
My bike's engine idles unevenly,Engine,Bike,Clean carburetor and check for air leaks. Adjust idle mixture screw if necessary.,,,
My car's brakes make grinding noises,Brakes,Car,Check brake pads and rotors for wear. Replace worn components and lubricate caliper pins.,,,
My bike's transmission makes a clunking noise,Transmission,Bike,Check transmission fluid level and condition. Inspect gear shift mechanism for wear.,,,
My car's engine misfires while driving,Engine,Car,Check spark plugs and ignition coils. Inspect fuel injectors for clogs.,,,
My bike's tires has loose air pressure,Tires,Bike,Check tire valves and rims for leaks. Repair or replace damaged components.,,,
My car's steering  is not steady,Steering,Car,Check power steering fluid level and inspect for leaks in the power steering system.,,,
My bike's brakes feel not working,Brakes,Bike,Bleed brake system and replace brake fluid. Check for air bubbles in brake lines.,,,
My car's transmission shifts roughly,Transmission,Car,Check transmission fluid level and condition. Inspect transmission mounts for wear.,,,
My bike's chain is loose,Maintenance,Bike,Adjust chain tension to manufacturer's specifications. Replace chain if excessively worn.,,,
My car's air conditioning compressor is noisy,HVAC,Car,Inspect compressor for damaged bearings or faulty components. Replace if necessary.,,,
My bike's engine emits a burning smell,Engine,Bike,Check for oil leaks and inspect exhaust system for leaks or clogs. Replace worn gaskets.,,,
My car's brakes squeak intermittently,Brakes,Car,Clean brake pads and rotors. Apply anti-squeal lubricant to brake components.,,,
My bike's handlebars feel shaky,Steering,Bike,Check handlebar clamp bolts and stem for tightness. Inspect headset bearings for wear.,,,
My car's exhaust emits a foul odor,Exhaust System,Car,Check for exhaust leaks and inspect catalytic converter for efficiency. Replace if necessary.,,,
My bike's suspension feels too soft,Suspension,Bike,Adjust suspension preload and damping settings to increase stiffness. Inspect for worn shock components.,,,
My car's battery drains overnight,Electrical,Car,Check for parasitic battery drain caused by faulty wiring or components. Test alternator output.,,,
My bike's brakes require excessive force,Brakes,Bike,Bleed brake system to remove air bubbles. Check for brake pad contamination and replace if necessary.,,,
My car's engine struggles to start,Engine,Car,Check fuel delivery system for clogs or fuel pump failure. Test ignition system components.,,,
My bike's chain has rust,Maintenance,Bike,Clean and lubricate chain regularly. Use a rust inhibitor to prevent further corrosion.,,,
My car's steering feels heavy,Steering,Car,Check power steering fluid level and inspect for leaks in the power steering system.,,,
My bike's tires have uneven wear patterns,Tires,Bike,Check tire pressure and alignment. Rotate tires if necessary.,,,
My car's engine overheats while idling,Cooling System,Car,Check coolant level and radiator for obstructions.,,,
My bike's engine lacks required power,Engine,Bike,Check air filter and fuel system for restrictions.,,,
My bike's engine revs but vehicle doesn't move ahead,Transmission,Bike,Check clutch cable tension and inspect clutch plates,,,
My car's air conditioning blows weak air,HVAC,Car,Clean or replace cabin air filter and inspect air ducts,,,
My car's exhaust emits blue and black smoke,Exhaust System,Car,Check engine oil level and inspect piston rings for wear.,,,
My car's engine produces a ticking noise,Engine,Car,Check valve clearance and adjust if necessary.,,,
My bike's brakes feel spongy and requires more force,Brakes,Bike,Check brake fluid level and bleed the brakes if necessary.,,,
My car's transmission slips between gears when used,Transmission,Car,Inspect transmission fluid for contamination and replace if needed.,,,
My bike's chain is making a grinding noise,Maintenance,Bike,Lubricate the chain and inspect for damage.,,,
My car's air conditioning is blowing hot air,HVAC,Car,Check refrigerant level and inspect compressor for faults.,,,
My bike's exhaust emits a popping sound,Exhaust System,Bike,Inspect exhaust system for leaks and tighten connections.,,,
My car's steering wheel vibrates at high speeds,Steering,Car,Check tire balance and alignment for any issues.,,,
My bike's engine stalls when coming to a stop,Engine,Bike,Clean or replace the carburetor and adjust the idle mixture.,,,
My car's brakes feel spongy,Brakes,Car,Bleed the brake system to remove any air bubbles.,,,
My bike's tires have uneven tread wear,Tires,Bike,Check tire pressure and inspect suspension for misalignment.,,,
My car's engine overheats while stopping,Cooling System,Car,Inspect radiator hoses and replace if necessary.,,,
My bike's transmission slips between gears,Transmission,Bike,Adjust clutch cable tension and inspect clutch plates.,,,
My car's headlights are dim and not working,Electrical,Car,Check battery connections and inspect the alternator.,,,
My bike's suspension bottoms out easily,Suspension,Bike,Adjust preload settings on the shocks for a firmer ride.,,,
My car's exhaust emits a rattling noise when accelerating,Exhaust System,Car,Inspect exhaust system for loose heat shields and tighten if needed.,,,
My bike's engine lacks power and produces less power,Engine,Bike,Check fuel system for clogs and clean the air filter.,,,
My car's brakes make a rubbing noise,Brakes,Car,Inspect brake pads for uneven wear and replace if necessary.,,,
My bike's brakes feel mushy,Brakes,Bike,Replace brake pads and bleed the brake system.,,,
My car's air conditioning smells like mold,HVAC,Car,Clean or replace cabin air filter and sanitize the vents.,,,
My bike's engine idles too high and makes a noise,Engine,Bike,Adjust idle speed screw on the carburetor or throttle body.,,,
My car's tires make a squealing noise,Tires,Car,Check tire pressure and rotate the tires for even wear.,,,
My bike's throttle sticks open,Engine,Bike,Lubricate throttle cable and inspect for binding.,,,
My car's brakes feel soft and requires more power,Brakes,Car,Check brake fluid level and replace if low.,,,
My bike's suspension feels too stiff and hard,Suspension,Bike,Adjust suspension preload and damping settings.,,,
My car's engine makes a rattling noise,Engine,Car,Check for loose components in the engine bay and tighten if necessary.,,,
My bike's brakes squeak when pressed,Brakes,Bike,Clean brake pads and rotors and apply brake lubricant.,,,
My car's transmission shifts abruptly,Transmission,Car,Check transmission fluid level and inspect for any metal shavings.,,,
My bike's chain is too tight,Maintenance,Bike,Loosen chain tension to the manufacturer's recommended specifications.,,,
My car's air conditioning vents blow excessive warm air,HVAC,Car,Check refrigerant levels and clean air conditioning vents.,,,
My bike's brakes lock up unexpectedly,Brakes,Bike,Inspect brake lines for kinks or blockages and replace if necessary.,,,
My car's engine misfires while accelerating,Engine,Car,Check ignition coils and spark plugs for signs of wear.,,,
My bike's transmission makes a grinding noise,Transmission,Bike,Adjust chain tension and lubricate if necessary.,,,
My car's engine struggles to start in cold weather,Engine,Car,Check spark plugs and ignition system for proper function.,,,
My bike's brakes feel spongy and need to apply more force,Brakes,Bike,Inspect brake lines for leaks and replace if necessary.,,,
My car's transmission shifts roughly and heavly,Transmission,Car,Check transmission fluid level and condition.,,,
My bike's chain keeps slipping off the sprocket,Maintenance,Bike,Replace worn chain and sprockets if necessary.,,,
My car's air conditioning blows warm air and bad odour,HVAC,Car,Inspect compressor for leaks and recharge refrigerant if low.,,,
My bike's exhaust emits a backfiring noise,Exhaust System,Bike,Check exhaust manifold gasket and tighten if necessary.,,,
My car's steering wheel vibrates during braking,Steering,Car,Inspect brake rotors for warping and replace if necessary.,,,
My bike's engine stalls at idle in traffic,Engine,Bike,Clean carburetor or fuel injectors and adjust idle speed.,,,
My car's brakes feel spongy and shakes unevenly,Brakes,Car,Check brake fluid level and bleed brakes if necessary.,,,
My bike's tires have worn treads,Tires,Bike,Replace tires and check wheel alignment.,,,
My car's engine overheats while idling in traffic,Cooling System,Car,Check radiator cap and replace if necessary.,,,
My bike's transmission slips between gears when changing gears,Transmission,Bike,Adjust clutch cable tension and inspect clutch plates.,,,
My car's headlights high beam is not working,Electrical,Car,Check alternator output and replace bulbs if needed.,,,
My bike's suspension bottoms out easily and unevenly,Suspension,Bike,Adjust preload settings on rear shock absorbers.,,,
My car's exhaust emits a uneven noise,Exhaust System,Car,Check exhaust heat shields and tighten if loose.,,,
My bike's engine lacks pickup power,Engine,Bike,Clean or replace air filter and adjust carburetor.,,,
My car's brakes make a rubbing noise loudly,Brakes,Car,Check brake pads for debris and clean if necessary.,,,
My bike's brakes feel mushy and hard,Brakes,Bike,Replace brake fluid and inspect master cylinder.,,,
My car's air conditioning smells like mold when turned on,HVAC,Car,Clean evaporator coil and sanitize air ducts.,,,
My bike's engine idles too highly,Engine,Bike,Adjust idle speed screw on carburetor or throttle body.,,,
My car's tires make a squealing noise while driving,Tires,Car,Check tire pressure and rotate tires if necessary.,,,
My bike's throttle sticks inbetween,Engine,Bike,Lubricate throttle cable and inspect for obstructions.,,,
My car's brakes feel soft when pressed,Brakes,Car,Inspect brake lines for leaks and replace if necessary.,,,
My bike's suspension feels too stiff in offroad,Suspension,Bike,Adjust suspension preload and damping settings.,,,
My car's engine makes a rattling noise when accelerating,Engine,Car,Inspect for loose heat shields and tighten if necessary.,,,
My bike's brakes squeak when pressed heavily,Brakes,Bike,Clean brake pads and rotors and apply anti-squeal lubricant.,,,
My car's transmission shifts abruptly while riding,Transmission,Car,Check transmission mounts for wear and replace if necessary.,,,
My bike's chain is too tight and gets stucked,Maintenance,Bike,Adjust chain tension to manufacturer's specifications.,,,
My car's air conditioning vents blow warm and uneven air,HVAC,Car,Check for clogged cabin air filter and replace if necessary.,,,
My bike's brakes lock up unexpectedly when pressing heavily,Brakes,Bike,Inspect brake calipers for sticking and clean if necessary.,,,
My car's engine misfires while accelerating at high speed,Engine,Car,Check ignition timing and replace spark plugs if needed.,,,
My bike's transmission makes a grinding noise while applying brake,Transmission,Bike,Adjust chain tension and lubricate if necessary.,,,
My car's exhaust emits blue smoke in high speed,Exhaust System,Car,Check PCV valve for proper function and replace if necessary.,,,
My bike's suspension squeaks,Suspension,Bike,Lubricate suspension components and inspect for wear.,,,
My car's steering feels heavy and vibrates a lot,Steering,Car,Check power steering fluid level and inspect for leaks.,,,
My bike's engine revs but vehicle doesn't move ahead in traffic,Transmission,Bike,Inspect clutch cable for damage and adjust clutch lever play.,,,
My car's air conditioning blows weak air than normal level,HVAC,Car,Check for blocked air vents and clean or replace cabin air filter.,,,
My car's engine has difficulty starting,Engine,Car,Inspect spark plugs and ignition system for issues.,,,
My bike's brakes feel soft and unresponsive,Brakes,Bike,Check brake lines for leaks and ensure proper fluid level.,,,
My car's gearbox shifts roughly between gears,Transmission,Car,Examine transmission fluid quality and adjust as necessary.,,,
My bike's chain keeps disengaging from sprockets,Maintenance,Bike,Replace worn chain links and sprockets if necessary.,,,
My car's air conditioning blows warm instead of cold,HVAC,Car,Evaluate refrigerant levels and compressor operation.,,,
My bike's exhaust produces unexpected popping sounds,Exhaust System,Bike,Inspect exhaust manifold gasket and tighten if loose.,,,
My car's steering wheel vibrates during braking and shakes a lot,Steering,Car,Check for brake rotor warping and address accordingly.,,,
My bike's engine frequently stalls when idling,Engine,Bike,Clean carburetor or fuel injectors and adjust idle speed.,,,
My car's brakes feel spongy and lack responsiveness,Brakes,Car,Bleed the brake system to remove air bubbles and improve feel.,,,
My bike's tires exhibit uneven wear patterns,Tires,Bike,Rotate tires and verify wheel alignment for even wear.,,,
My car's engine overheats while stationary,Cooling System,Car,Inspect radiator and cooling fan operation for efficiency.,,,
My bike's transmission hesitates between gears,Transmission,Bike,Verify clutch cable tension and inspect clutch plates.,,,
My car's headlights emit dim lighting,Electrical,Car,Examine battery connections and replace bulbs if needed.,,,
My bike's suspension bottoms out frequently,Suspension,Bike,Adjust preload settings on the rear shock absorbers.,,,
My car's exhaust emits a rattling noise when accelerating at high speed,Exhaust System,Car,Check exhaust heat shields and tighten if necessary.,,,
My bike's engine lacks sufficient power,Engine,Bike,Clean or replace air filter and adjust carburetor settings.,,,
My car's brakes make a grinding noise when applied,Brakes,Car,Check brake pads for debris and replace if necessary.,,,
My bike's brakes feel mushy and ineffective,Brakes,Bike,Replace brake fluid and inspect master cylinder for leaks.,,,
My car's air conditioning emits musty odors when turned on,HVAC,Car,Clean or replace cabin air filter and sanitize air ducts.,,,
My bike's engine idles at an excessively high RPM,Engine,Bike,Adjust idle speed screw on carburetor or throttle body.,,,
My car's tires emit squealing noises,Tires,Car,Inspect tire pressure and consider rotating tires if necessary.,,,
My bike's throttle sticks in open position,Engine,Bike,Lubricate throttle cable and ensure free movement.,,,
My car's brakes feel soft and unresponsive,Brakes,Car,Inspect brake lines for leaks and ensure proper fluid level.,,,
My bike's suspension feels excessively rigid,Suspension,Bike,Adjust suspension preload and damping settings accordingly.,,,
My car's engine produces a rattling noise,Engine,Car,Check for loose components in the engine bay and tighten as needed.,,,
My bike's brakes emit squealing noises,Brakes,Bike,Clean brake pads and rotors and apply anti-squeal lubricant.,,,
My car's transmission shifts abruptly in traffic,Transmission,Car,Inspect transmission mounts and replace if necessary.,,,
My bike's chain is tightened excessively,Maintenance,Bike,Adjust chain tension to within manufacturer's specifications.,,,
My car's air conditioning blows tepid air,HVAC,Car,Check refrigerant levels and inspect for clogged air filters.,,,
My bike's brakes lock up unexpectedly in traffic,Brakes,Bike,Inspect brake calipers for seizing and clean if necessary.,,,
My car's engine misfires during acceleration at speed,Engine,Car,Check ignition timing and replace spark plugs if necessary.,,,
My bike's transmission emits grinding sounds,Transmission,Bike,Adjust chain tension and inspect transmission components.,,,
My car's exhaust emits blue-colored smoke,Exhaust System,Car,Check engine oil level and inspect piston rings for wear.,,,
My bike's suspension emits squeaking noises,Suspension,Bike,Lubricate suspension components and inspect for wear.,,,
My car's steering feels heavy and unresponsive,Steering,Car,Check power steering fluid level and inspect for leaks.,,,
My bike's engine revs but the vehicle remains stationary,Transmission,Bike,Inspect clutch cable for wear and adjust clutch lever play.,,,
My car's air conditioning blows feeble and light air,HVAC,Car,Inspect air conditioning compressor and replace if necessary.,,,
My car struggles to start its engine,Engine,Car,Inspect spark plugs and ignition system for potential issues.,,,
The brakes on my bike feel soft and unresponsive,Brakes,Bike,Check brake lines for leaks and top up brake fluid if needed.,,,
Shifting gears in my car feels rough and difficult,Transmission,Car,Evaluate transmission fluid quality and adjust if necessary.,,,
The chain on my bike keeps slipping off the gear,Maintenance,Bike,Replace worn-out chain links and sprockets as required.,,,
My car's air conditioning blows warm air instead cold,HVAC,Car,Assess refrigerant levels and ensure compressor operation.,,,
Unusual popping sounds come from my bike's exhaust,Exhaust System,Bike,Examine exhaust manifold gasket and tighten if necessary.,,,
"When I brake, my car's steering wheel vibrates and shakes a lot",Steering,Car,Check brake rotor condition and address any issues found.,,,
My bike's engine often stalls when idling,Engine,Bike,Clean carburetor or fuel injectors and adjust idle speed.,,,
The brakes on my car feel spongy and is not responding,Brakes,Car,Bleed the brake system to remove air bubbles and improve responsiveness.,,,
My bike's tires show uneven wear patterns,Tires,Bike,Rotate tires and check wheel alignment for even wear.,,,
My car's engine heats a lot,Cooling System,Car,Inspect radiator and cooling fan for proper function.,,,
The transmission in my bike shifts gears roughly,Transmission,Bike,Confirm clutch cable tension and inspect clutch plates.,,,
My car's headlights emit dim light,Electrical,Car,Check battery connections and replace bulbs if necessary.,,,
My bike's suspension frequently bottoms ,Suspension,Bike,Adjust preload settings on rear shock absorbers.,,,
Rattling noises come from my car's exhaust,Exhaust System,Car,Check exhaust heat shields and tighten if loose.,,,
My bike's engine lacks power than required,Engine,Bike,Clean or replace air filter and adjust carburetor settings.,,,
My car's brakes make a grinding noise in speed,Brakes,Car,Inspect brake pads for debris and replace if necessary.,,,
The brakes on my bike feel mushy and unresponsive when applied,Brakes,Bike,Replace brake fluid and inspect master cylinder for leaks.,,,
My car's air conditioning emits musty odors when used,HVAC,Car,Clean or replace cabin air filter and sanitize air ducts.,,,
The engine on my bike idles too fast while speeding,Engine,Bike,Adjust idle speed screw on carburetor or throttle body.,,,
My car's tires squeal when I press brake,Tires,Car,Check tire pressure and consider rotating tires if necessary.,,,
My car's engine struggles to turn over,Engine,Car,Inspect spark plug condition and ignition system for issues.,,,
The brakes on my bike feel spongy and unresponsive,Brakes,Bike,Check brake lines for leaks and refill brake fluid if needed.,,,
I'm experiencing rough gear shifting in my car,Transmission,Car,Examine transmission fluid quality and adjust as necessary.,,,
The chain on my bike keeps slipping off the gears,Maintenance,Bike,Replace worn-out chain links and sprockets as required.,,,
My car's air conditioning blows warm air instead,HVAC,Car,Evaluate refrigerant levels and ensure compressor operation.,,,
Strange popping sounds are coming from my bike's exhaust,Exhaust System,Bike,Examine exhaust manifold gasket and tighten if necessary.,,,
"When I brake, my car's steering wheel vibrates",Steering,Car,Inspect brake rotor condition and address any issues found.,,,
My bike's engine frequently stalls at idle,Engine,Bike,Clean carburetor or fuel injectors and adjust idle speed.,,,
The brakes on my car feel spongy and unresponsive,Brakes,Car,Bleed the brake system to remove air bubbles and improve responsiveness.,,,
I've noticed uneven wear patterns on my bike's tires,Tires,Bike,Rotate tires and check wheel alignment for even wear.,,,
My car's engine overheats when idle,Cooling System,Car,Inspect radiator and cooling fan for proper function.,,,
I'm having trouble shifting gears on my bike,Transmission,Bike,Confirm clutch cable tension and inspect clutch plates.,,,
My car's headlights emit dim illumination,Electrical,Car,Check battery connections and replace bulbs if necessary.,,,
My bike's suspension frequently bottoms out,Suspension,Bike,Adjust preload settings on rear shock absorbers.,,,
Strange rattling noises are coming from my car's exhaust,Exhaust System,Car,Check exhaust heat shields and tighten if loose.,,,
My bike's engine lacks power than required power,Engine,Bike,Clean or replace air filter and adjust carburetor settings.,,,
My car's brakes make a grinding noise,Brakes,Car,Inspect brake pads for debris and replace if necessary.,,,
The brakes on my bike feel mushy and unresponsive,Brakes,Bike,Replace brake fluid and inspect master cylinder for leaks.,,,
My car's air conditioning emits musty odors,HVAC,Car,Clean or replace cabin air filter and sanitize air ducts.,,,
The engine on my bike idles too fast,Engine,Bike,Adjust idle speed screw on carburetor or throttle body.,,,
My car's tires squeal when I brake,Tires,Car,Check tire pressure and consider rotating tires if necessary.,,,
My bike's throttle sticks and is unresponsive,Engine,Bike,Lubricate throttle cable and ensure smooth operation.,,,
The brakes on my car feel soft and unresponsive,Brakes,Car,Inspect brake lines for leaks and ensure proper fluid level.,,,
My bike's suspension feels too stiff and rigid,Suspension,Bike,Adjust suspension preload and damping settings for comfort.,,,
Strange rattling noises are coming from my car's engine,Engine,Car,Check for loose components in the engine bay and tighten as needed.,,,
My bike's brakes squeal,Brakes,Bike,Clean brake pads and rotors and apply anti-squeal lubricant.,,,
My car's transmission shifts suddenly,Transmission,Car,Inspect transmission mounts and replace if necessary.,,,
The chain on my bike is too tight,Maintenance,Bike,Adjust chain tension to within manufacturer's specifications.,,,
My car's air conditioning blows warm and light air,HVAC,Car,Check refrigerant levels and inspect for clogged air filters.,,,
The brakes on my bike lock up unexpectedly,Brakes,Bike,Inspect brake calipers for seizing and clean if necessary.,,,
My car's engine misfires during acceleration,Engine,Car,Check ignition timing and replace spark plugs if necessary.,,,
My bike's transmission grinds,Transmission,Bike,Adjust chain tension and inspect transmission components.,,,
Blue smoke is coming from my car's exhaust,Exhaust System,Car,Check engine oil level and inspect piston rings for wear.,,,
My bike's suspension squeaks abnormally,Suspension,Bike,Lubricate suspension components and inspect for wear.,,,
My car's steering feels heavy and vibrates a lot at high speed,Steering,Car,Check power steering fluid level and inspect for leaks.,,,
My bike's engine revs but the vehicle doesn't move,Transmission,Bike,Inspect clutch cable for wear and adjust clutch lever play.,,,
My car's air conditioning blows feeble air,HVAC,Car,Inspect air conditioning compressor and replace if necessary.,,,
Difficulty starting my car's engine,Car,Engine,Check spark plugs and ignition system for issues.,,,
Spongy and unresponsive brakes on my bike,Bike,Brakes,Check brake lines for leaks and refill brake fluid if necessary.,,,
Rough shifting gears in my car,Car,Transmission,Examine transmission fluid quality and adjust as needed.,,,
Chain slipping off the gears on my bike,Bike,Maintenance,Replace worn-out chain links and sprockets as required.,,,
Warm air from my car's air conditioning,Car,HVAC,Evaluate refrigerant levels and ensure compressor operation.,,,
Strange popping sounds from my bike's exhaust,Bike,Exhaust System,Examine exhaust manifold gasket and tighten if necessary.,,,
Vibrating steering wheel when braking in my car,Car,Steering,Inspect brake rotor condition and address any issues found.,,,
Bike's engine frequently stalling at idle,Bike,Engine,Clean carburetor or fuel injectors and adjust idle speed.,,,
Spongy and unresponsive brakes in my car,Car,Brakes,Bleed the brake system to remove air bubbles and improve responsiveness.,,,
Uneven wear patterns on my bike's tires,Bike,Tires,Rotate tires and check wheel alignment for even wear.,,,
Engine overheating when idle in my car,Car,Cooling System,Inspect radiator and cooling fan for proper function.,,,
Rough gear shifting on my bike,Bike,Transmission,Confirm clutch cable tension and inspect clutch plates.,,,
Dim illumination from my car's headlights,Car,Electrical,Check battery connections and replace bulbs if necessary.,,,
Frequent bottoming out of my bike's suspension,Bike,Suspension,Adjust preload settings on rear shock absorbers.,,,
Rattling noises from my car's exhaust,Car,Exhaust System,Check exhaust heat shields and tighten if loose.,,,
Lack of power in my bike's engine,Bike,Engine,Clean or replace air filter and adjust carburetor settings.,,,
Grinding noise from my car's brakes,Car,Brakes,Inspect brake pads for debris and replace if necessary.,,,
Mushy and ineffective brakes on my bike,Bike,Brakes,Replace brake fluid and inspect master cylinder for leaks.,,,
Musty odors from my car's air conditioning,Car,HVAC,Clean or replace cabin air filter and sanitize air ducts.,,,
Excessively high idle RPM in my bike's engine,Bike,Engine,Adjust idle speed screw on carburetor or throttle body.,,,
Car's engine idling roughly,Car,Engine,Clean or replace idle air control valve.,,,
Bike's brakes squeaking when applied,Bike,Brakes,Clean brake pads and apply anti-squeal lubricant.,,,
Car's transmission cable slipping ,Car,Transmission,Check transmission fluid level and condition.,,,
Bike's exhaust emitting white smoke,Bike,Exhaust System,Check coolant level and inspect cylinder head gasket.,,,
Car's steering wheel shaking at high speeds,Car,Steering,Inspect wheel balance and alignment.,,,
Bike's engine making knocking noises,Bike,Engine,Check for proper oil level and inspect piston bearings.,,,
Car's brakes grinding when applied,Car,Brakes,Replace brake pads and resurface brake rotors.,,,
Bike's chain making clicking sounds,Bike,Maintenance,Lubricate chain and adjust tension.,,,
Car's air conditioning blowing warm air,Car,HVAC,Check for refrigerant leaks and recharge system.,,,
Bike's suspension feeling bouncy,Bike,Suspension,Check shock absorbers for leaks and replace if necessary.,,,
Car's engine overheating while driving,Car,Cooling System,Check radiator for blockages and flush cooling system.,,,
Bike's throttle sticking when twisted,Bike,Engine,Clean throttle body and lubricate throttle cable.,,,
Car's headlights flickering ,Car,Electrical,Inspect wiring harness and replace faulty bulbs.,,,
Bike's brakes feeling spongey and weak,Bike,Brakes,Bleed brake lines and check for air bubbles.,,,
Car's transmission jerking during acceleration,Car,Transmission,Replace transmission fluid and inspect for worn clutches.,,,
Bike's exhaust emitting  smoke,Bike,Exhaust System,Clean or replace air filter and inspect fuel mixture.,,,
Car's steering wheel vibrating at low speeds,Car,Steering,Check tire balance and inspect steering components.,,,
Bike's engine stalling when coming to a stop,Bike,Engine,Adjust idle speed and clean carburetor.,,,
Car's brakes squealing when coming to a stop,Car,Brakes,Clean brake pads and rotors and apply anti-squeal lubricant.,,,
Bike's chain jumping off the sprockets,Bike,Maintenance,Adjust chain tension and replace worn sprockets.,,,
Car's air conditioning emitting foul odors,Car,HVAC,Clean or replace cabin air filter and sanitize ducts.,,,
Bike's suspension feeling too stiff,Bike,Suspension,Adjust preload and damping settings on suspension.,,,
Car's engine making knocking sounds,Car,Engine,Check for low-quality fuel and use a higher octane fuel.,,,
Bike's brakes feeling spongy and ineffective,Bike,Brakes,Bleed the brake lines and replace brake fluid with fresh fluid.,,,
Car's transmission slipping between gears,Car,Transmission,"Inspect transmission fluid level and quality, and replace if necessary.",,,
Bike's chain constantly coming off the gears,Bike,Maintenance,Adjust chain tension and align gears properly.,,,
Car's air conditioning not cooling properly,Car,HVAC,Check for refrigerant leaks and recharge the system if necessary.,,,
Bike's exhaust emitting black smoke,Bike,Exhaust System,Check air filter and clean or replace if clogged.,,,
Car's steering wheel vibrating at high speeds,Car,Steering,"Inspect wheel alignment and balance, and rotate tires if necessary.",,,
Bike's engine sputtering during acceleration,Bike,Engine,Check fuel filter and fuel lines for clogs or leaks.,,,
Car's brakes squeaking when applied,Car,Brakes,Inspect brake pads for wear and replace if necessary.,,,
Bike's suspension feeling too soft,Bike,Suspension,Adjust suspension preload and damping settings for firmer ride.,,,
Car's headlights flickering intermittently,Car,Electrical,Check battery connections and alternator output.,,,
Bike's tires losing pressure frequently,Bike,Tires,Inspect tires for punctures and repair or replace as needed.,,,
Car's engine overheating during traffic jams,Car,Cooling System,Check coolant level and radiator for leaks or blockages.,,,
Bike's transmission making grinding noises,Bike,Transmission,Inspect gearbox and clutch components for wear and damage.,,,
Car's exhaust emitting a foul odor,Car,Exhaust System,Check for exhaust leaks and repair or replace damaged components.,,,
Bike's engine running rough at idle,Bike,Engine,Adjust idle mixture screw and check for vacuum leaks.,,,
Car's brakes feeling loose and unresponsive,Car,Brakes,Inspect brake calipers for proper operation and adjust as necessary.,,,
Bike's suspension bottoming out on bumps,Bike,Suspension,Adjust suspension preload and compression damping settings.,,,
Car's air conditioning emitting moldy smell,Car,HVAC,Clean or replace cabin air filter and disinfect air ducts.,,,
Bike's exhaust system rattling loudly,Bike,Exhaust System,Inspect exhaust mounting brackets and tighten if loose.,,,
Car idling roughly,Car,Engine,Clean throttle body and idle air control valve.,,,
Bike's brakes feeling grabby and jerky,Bike,Brakes,Sand brake pads lightly and clean brake rotors.,,,
Car's transmission slipping when accelerating,Car,Transmission,"Check transmission fluid level and condition, and replace if necessary.",,,
Bike's chain making clicking noises,Bike,Maintenance,Lubricate chain and adjust tension to manufacturer's specifications.,,,
Car's ac blowing warm air,Car,HVAC,"Check refrigerant level and compressor operation, and recharge if necessary.",,,
Bike's engine backfiring during deceleration,Bike,Engine,Inspect exhaust system for leaks and check carburetor for proper adjustment.,,,
Car's brakes pulsating when applied,Car,Brakes,Check brake rotor condition and resurface if necessary.,,,
Bike's suspension feeling bouncy and unsettled,Bike,Suspension,Adjust shock absorber preload and rebound damping.,,,
Car's engine consuming excessive oil,Car,Engine,Check for oil leaks and inspect piston rings for wear.,,,
Bike's brakes feeling spongey and unpredictable,Bike,Brakes,Bleed brake lines and replace brake fluid with new fluid.,,,
Car's transmission shifting harshly,Car,Transmission,Inspect transmission mounts and replace if worn or damaged.,,,
Bike's chain skipping over sprockets,Bike,Maintenance,Replace worn chain and sprockets and lubricate new components.,,,
Car's air conditioning not blowing air,Car,HVAC,Check air conditioning compressor operation and repair or replace as needed.,,,
Bike's exhaust emitting excessive smoke,Bike,Exhaust System,Check for clogged air filter and clean or replace as necessary.,,,
Car's steering wheel feeling loose and wobbly,Car,Steering,Inspect tie rod ends and steering linkage for wear and play.,,,
Bike's engine stalling ,Bike,Engine,Clean carburetor and adjust idle speed screw.,,,
Car's brakes feeling mushy and unresponsive,Car,Brakes,Bleed brake lines and replace brake fluid with fresh fluid.,,,
Bike's suspension feeling  stiff,Bike,Suspension,Adjust suspension preload and compression damping.,,,
Car's engine producing unusual knocking noises,Car,Engine,Check for engine oil leaks and inspect connecting rod bearings.,,,
Bike's brakes making squealing noises,Bike,Brakes,Clean brake pads and rotors and apply anti-squeal lubricant.,,,
Car's transmission slipping in reverse,Car,Transmission,"Check transmission fluid level and condition, and adjust bands if necessary.",,,
Bike's chain rattling against the frame,Bike,Maintenance,Tighten chain tension and adjust chain alignment.,,,
Car's air conditioning emitting strange odors,Car,HVAC,Replace cabin air filter and disinfect air ducts.,,,
Bike's exhaust emitting popping sounds,Bike,Exhaust System,Check exhaust system for leaks and tighten connections.,,,
Car's engine idling too high,Car,Engine,Check for vacuum leaks and clean throttle body.,,,
Bike's brakes feeling spongy and lacking bite,Bike,Brakes,Bleed brake lines and replace brake fluid with new fluid.,,,
